source_doc_id,entity,entity_type,source,method,confidence,evidence
166170,Quốc hội,CoQuan,content_clean,gemini,1.0,QUỐC HỘI
166170,Vương Đình Huệ,NguoiKy,content_clean,gemini,1.0,Vương Đình Huệ
166170,Tín dụng,LinhVuc,content_clean,gemini,0.8,Luật Các tổ chức tín dụng số 32/2024/QH15
166170,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,1.0,1. Tổ chức tín dụng.
166170,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài.
166170,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,1.0,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
166170,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,content_clean,gemini,1.0,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
166170,"Cơ quan, tổ chức, cá nhân có liên quan",DoiTuongApDung,content_clean,gemini,1.0,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng..."
166170,Chủ tịch Quốc hội,ChucDanh,content_clean,gemini,1.0,CHỦ TỊCH QUỐC HỘI
166170,Ngân hàng,Nganh,content_clean,gemini,0.8,chi nhánh ngân hàng nước ngoài
112025,Chính phủ,CoQuan,content_clean,gemini,1.0,CHÍNH PHỦ
112025,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,1.0,Nguyễn Xuân Phúc
112025,Tài chính,LinhVuc,content_clean,gemini,0.8,Theo đề nghị của Bộ trưởng Bộ Tài chính;
112025,Doanh nghiệp bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,a) Doanh nghiệp bảo hiểm;
112025,Chi nhánh nước ngoài,DoiTuongApDung,content_clean,gemini,1.0,b) Chi nhánh nước ngoài;
112025,Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,Đại lý bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,1.0,"d) Các tổ chức, cá nhân khác có liên quan."
112025,Thủ tướng Chính phủ,ChucDanh,content_clean,gemini,1.0,THỦ TƯỚNG CHÍNH PHỦ
112025,Tài chính,Nganh,content_clean,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính;
38128,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
38128,Đào Minh Tú,NguoiKy,content_clean,gemini,1.0,Đào Minh Tú
38128,Phát hành và kho quỹ,LinhVuc,content_clean,gemini,0.9,Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ;
38128,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,content_clean,gemini,1.0,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,Nhà máy in tiền Quốc gia,DoiTuongApDung,content_clean,gemini,1.0,2. Nhà máy in tiền Quốc gia.
38128,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,content_clean,gemini,1.0,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
38128,Phó Thống đốc,ChucDanh,content_clean,gemini,1.0,PHÓ THỐNG ĐỐC
38128,Ngân hàng,Nganh,content_clean,gemini,0.9,"trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài"
26750,Quốc hội,CoQuan,content_clean,gemini,1.0,QUỐC HỘI
26750,Nguyễn Phú Trọng,NguoiKy,content_clean,gemini,1.0,Nguyễn Phú Trọng
26750,Kiểm toán độc lập,LinhVuc,content_clean,gemini,0.9,Luật Kiểm toán độc lập
26750,kiểm toán viên,DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,kiểm toán viên hành nghề,DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,doanh nghiệp kiểm toán,DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,đơn vị được kiểm toán,DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,tổ chức nghề nghiệp về kiểm toán,DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,"tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,content_clean,gemini,1.0,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,Chủ tịch Quốc hội,ChucDanh,content_clean,gemini,1.0,CHỦ TỊCH QUỐC HỘI
26750,Tài chính,Nganh,content_clean,gemini,0.8,Bộ Tài chính
163441,Chính phủ,CoQuan,content_clean,gemini,1.0,CHÍNH PHỦ
163441,Lê Minh Khái,NguoiKy,content_clean,gemini,1.0,Lê Minh Khái
163441,Bảo hiểm,LinhVuc,content_clean,gemini,1.0,Luật Kinh doanh bảo hiểm
163441,Doanh nghiệp bảo hiểm phi nhân thọ,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,Doanh nghiệp bảo hiểm nhân thọ,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
